id,customer_id,first_name,last_name,age,email,phone,city,salary,transaction_id,product,quantity,price,total_amount,transaction_date
1,CUST00001,Ahmad,Santoso,30,ahmad.santoso1@email.com,08579551535,Solo,13097651.87,TRX000001,Printer,1,3487674.11,3487674.11,2025-04-17
2,CUST00002,Budi,Kusuma,40,budi.kusuma2@email.com,08928297566,Jakarta,12168294.92,TRX000002,Projector,5,9329380.88,46646904.4,2025-04-02
3,CUST00003,Dewi,Putri,62,dewi.putri3@email.com,08273154571,Manado,5433247.92,TRX000003,Keyboard,5,1877807.54,9389037.7,2024-11-15
4,CUST00004,Ahmad,Kusuma,42,ahmad.kusuma4@email.com,08951712097,Batam,8854173.18,TRX000004,Router,2,7506346.3,15012692.6,2025-03-25
5,CUST00005,Maya,Jaya,60,maya.jaya5@email.com,08793772582,Semarang,9934589.26,TRX000005,Router,3,14246234.98,42738704.94,2025-08-17
6,CUST00006,Eko,Kurniawan,50,eko.kurniawan6@email.com,08983202962,Cirebon,6121166.2,TRX000006,SSD,1,9754288.33,9754288.33,2025-05-13
7,CUST00007,Gita,Putri,30,gita.putri7@email.com,08712390790,Manado,14570518.98,TRX000007,Powerbank,2,12150406.93,24300813.86,2025-04-01
8,CUST00008,Gita,Santoso,50,gita.santoso8@email.com,08955943536,Bogor,3033882.94,TRX000008,Headphone,2,12949508.62,25899017.24,2024-12-02
9,CUST00009,Fajar,Irawan,47,fajar.irawan9@email.com,08812785708,Balikpapan,8379970.53,TRX000009,Projector,4,14764376.03,59057504.12,2025-06-20
10,CUST00010,Gita,Pratiwi,54,gita.pratiwi10@email.com,08123091758,Tangerang,10100328.35,TRX000010,Mouse,1,14377270.41,14377270.41,2024-11-11
11,CUST00011,Putri,Kurniawan,45,putri.kurniawan11@email.com,08243310856,Tangerang,11710060.89,TRX000011,Router,4,6372799.42,25491197.68,2024-12-20
12,CUST00012,Nina,Nugroho,24,nina.nugroho12@email.com,08210259886,Bogor,12985062.8,TRX000012,Harddisk,1,5071185.86,5071185.86,2025-05-23
13,CUST00013,Eko,Kurniawan,59,eko.kurniawan13@email.com,08308674697,Bekasi,12778040.72,TRX000013,Speaker,1,3858697.03,3858697.03,2024-11-17
14,CUST00014,Lina,Lesmana,25,lina.lesmana14@email.com,08468031910,Bekasi,11681210.0,TRX000014,Router,4,9145044.24,36580176.96,2025-05-12
15,CUST00015,Tono,Putri,19,tono.putri15@email.com,08810738102,Jakarta,6172750.35,TRX000015,Tablet,5,6319115.93,31595579.65,2025-08-06
16,CUST00016,Kartika,Maulana,42,kartika.maulana16@email.com,08878813612,Denpasar,8640124.34,TRX000016,Speaker,1,3536011.89,3536011.89,2024-11-24
17,CUST00017,Kartika,Putri,48,kartika.putri17@email.com,08481302663,Denpasar,6720010.22,TRX000017,Laptop,3,11797301.1,35391903.3,2025-05-11
18,CUST00018,Tono,Nugroho,61,tono.nugroho18@email.com,08511148235,Semarang,6720923.44,TRX000018,Smartwatch,2,7771981.58,15543963.16,2025-09-17
19,CUST00019,Joko,Kusuma,27,joko.kusuma19@email.com,08209779018,Medan,7063538.87,TRX000019,Speaker,4,4678696.4,18714785.6,2024-11-17
20,CUST00020,Lina,Nugroho,57,lina.nugroho20@email.com,08404656483,Denpasar,6416669.55,TRX000020,Camera,4,5286599.53,21146398.12,2025-08-04
21,CUST00021,Budi,Maulana,49,budi.maulana21@email.com,08137252400,Surabaya,12108875.74,TRX000021,Speaker,1,3383085.3,3383085.3,2025-01-20
22,CUST00022,Eko,Gunawan,48,eko.gunawan22@email.com,08434409168,Medan,11746927.52,TRX000022,SSD,5,4203818.14,21019090.7,2025-10-02
23,CUST00023,Wati,Nasution,30,wati.nasution23@email.com,08272330446,Bandar Lampung,12345658.02,TRX000023,SSD,3,5751314.13,17253942.39,2024-12-04
24,CUST00024,Rina,Sari,19,rina.sari24@email.com,08734178860,Batam,11275922.95,TRX000024,Drone,3,13410678.23,40232034.69,2024-12-20
25,CUST00025,Eko,Irawan,33,eko.irawan25@email.com,08181236609,Pekanbaru,12272614.92,TRX000025,Router,5,8965062.5,44825312.5,2025-09-16
26,CUST00026,Budi,Hidayat,26,budi.hidayat26@email.com,08672210868,Bekasi,11986976.62,TRX000026,Webcam,2,12498009.29,24996018.58,2025-04-24
27,CUST00027,Joko,Sari,26,joko.sari27@email.com,08208647771,Bekasi,3419425.98,TRX000027,Camera,2,2910914.74,5821829.48,2025-01-11
28,CUST00028,Ahmad,Nasution,18,ahmad.nasution28@email.com,08869499763,Manado,6912319.18,TRX000028,Laptop,2,2883596.53,5767193.06,2025-06-24
29,CUST00029,Hadi,Purnama,62,hadi.purnama29@email.com,08603463724,Pekanbaru,9706259.9,TRX000029,Keyboard,4,2630568.1,10522272.4,2025-07-04
30,CUST00030,Citra,Nasution,21,citra.nasution30@email.com,08688972690,Makassar,10637308.04,TRX000030,Drone,5,4220427.02,21102135.1,2025-05-28
31,CUST00031,Eko,Hidayat,40,eko.hidayat31@email.com,08121924695,Tangerang,4367354.42,TRX000031,Scanner,5,5768717.32,28843586.6,2025-04-05
32,CUST00032,Sari,Halim,21,sari.halim32@email.com,08152623938,Yogyakarta,5352963.7,TRX000032,Microphone,1,13911980.82,13911980.82,2025-03-15
33,CUST00033,Sari,Jaya,50,sari.jaya33@email.com,08228189976,Jakarta,13220333.63,TRX000033,Tablet,2,8661846.08,17323692.16,2025-03-08
34,CUST00034,Lina,Irawan,38,lina.irawan34@email.com,08510104410,Manado,4434763.44,TRX000034,Webcam,4,12576446.13,50305784.52,2025-01-28
35,CUST00035,Budi,Purnama,30,budi.purnama35@email.com,08803818882,Malang,8529988.56,TRX000035,Camera,3,10915160.2,32745480.6,2025-07-19
36,CUST00036,Joko,Nugroho,44,joko.nugroho36@email.com,08982110159,Malang,14209015.27,TRX000036,Drone,4,8989779.25,35959117.0,2025-05-17
37,CUST00037,Kartika,Hidayat,41,kartika.hidayat37@email.com,08767426222,Jakarta,5109991.26,TRX000037,Headphone,3,12293632.64,36880897.92,2025-10-21
38,CUST00038,Indra,Lesmana,65,indra.lesmana38@email.com,08747561093,Medan,14732684.89,TRX000038,Webcam,1,9256588.61,9256588.61,2025-02-04
39,CUST00039,Wati,Maulana,23,wati.maulana39@email.com,08238721750,Pekanbaru,12164338.1,TRX000039,Speaker,1,14033944.01,14033944.01,2025-01-13
40,CUST00040,Kartika,Santoso,43,kartika.santoso40@email.com,08302768872,Surabaya,6021675.2,TRX000040,Projector,2,10553061.69,21106123.38,2024-12-11
41,CUST00041,Indra,Nugroho,36,indra.nugroho41@email.com,08734180064,Jakarta,8537313.83,TRX000041,Printer,3,3425064.16,10275192.48,2025-09-03
42,CUST00042,Nina,Kusuma,65,nina.kusuma42@email.com,08272297497,Malang,8340787.8,TRX000042,Tablet,4,11181917.77,44727671.08,2025-02-02
43,CUST00043,Dewi,Nugroho,24,dewi.nugroho43@email.com,08503835660,Yogyakarta,3323647.4,TRX000043,Router,5,1649310.89,8246554.45,2025-05-09
44,CUST00044,Eko,Putri,55,eko.putri44@email.com,08266017858,Makassar,9615778.84,TRX000044,Smartphone,3,13837820.4,41513461.2,2024-11-06
45,CUST00045,Indra,Wijaya,50,indra.wijaya45@email.com,08237190332,Batam,4242687.39,TRX000045,Router,1,10145491.67,10145491.67,2025-04-21
46,CUST00046,Indra,Kusuma,56,indra.kusuma46@email.com,08725316612,Solo,10459703.27,TRX000046,Powerbank,5,4104404.86,20522024.3,2025-10-16
47,CUST00047,Nina,Oktaviani,65,nina.oktaviani47@email.com,08493056486,Semarang,5361052.39,TRX000047,Powerbank,5,2268949.02,11344745.1,2025-06-23
48,CUST00048,Tono,Rahman,28,tono.rahman48@email.com,08674543048,Palembang,4933957.71,TRX000048,Tablet,1,2972637.56,2972637.56,2025-01-25
49,CUST00049,Maya,Jaya,39,maya.jaya49@email.com,08640846773,Manado,10385188.37,TRX000049,Laptop,2,7043375.53,14086751.06,2025-01-15
50,CUST00050,Dewi,Santoso,21,dewi.santoso50@email.com,08201120947,Palembang,10362211.62,TRX000050,Headphone,2,12740212.37,25480424.74,2025-06-28
51,CUST00051,Fajar,Purnama,49,fajar.purnama51@email.com,08920432090,Makassar,5472266.35,TRX000051,Tablet,5,11827224.43,59136122.15,2024-12-09
